inclusion_exclusion,negated,criteria_sentences,bp_inclusion
Exclusion,FALSE,severe hypertension ( an office cuff msdbp > = 110 mmhg or mssbp > = 180 mmhg ) .,an office cuff msdbp < = 110 mmhg and mssbp < = 180 mmhg
Inclusion,FALSE,mean cuff seated diastolic blood pressure ( bp ) must be > 95 mmhg and < 115 mmhg and a mean cuff seated systolic bp must be < 180 mmhg when measured at two consecutive qualification study visits during the placebo run-in phase .,mean cuff seated diastolic blood pressure ( bp ) must be > 95 mmhg and < 115 mmhg and a mean cuff seated systolic bp must be < 180 mmhg when measured at two consecutive qualification study visits during the placebo run-in phase .
Inclusion,FALSE,diagnosed of having hypertension ; defined as a mean seated systolic bp > = 160 mmhg ( stage 2 hypertension ),mean seated systolic bp > = 160 mmhg
Exclusion,FALSE,severe / malignant / secondary hypertensive patients,mild to moderate
Exclusion,FALSE,severe hypertension,mild to moderate
Exclusion,FALSE,severe hypertension .,mild to moderate
Exclusion,FALSE,severe hypertension ; current diagnosis of heart failure ; history or evidence of a secondary form of hypertension ; participation in any investigational drug study within one month of planned participation ;,mild to moderate
Exclusion,FALSE,symptomatic hypertension or severe hypertension,mild to moderate
Exclusion,FALSE,significantly elevated blood pressure ( severe hypertension ),mild to moderate
Exclusion,FALSE,secondary hypertension or severe hypertension,mild to moderate
Exclusion,FALSE,malignant hypertension or severe hypertension ( grade 3 of who classification,mild to moderate
Inclusion,FALSE,patients with mild to moderate hypertension,mild to moderate
Inclusion,FALSE,mild to moderate essential hypertension,mild to moderate
Inclusion,FALSE,patients with mild to moderate hypertension ; untreated or currently taking antihypertensive therapy,mild to moderate
Inclusion,FALSE,history of mild-to-moderate hypertension,mild to moderate
Inclusion,FALSE,moderate to severe high blood pressure,moderate to severe
Inclusion,FALSE,moderate to severe hypertension,moderate to severe
Inclusion,FALSE,patients with a diagnosis of stage 2 hypertension ( defined as an office cuff mssbp > = 160 mmhg and < 200 mmhg ) at visit 5 ( randomization ) . ;,mssbp > = 160 mmhg and < 200 mmhg 
Inclusion,FALSE,untreated patients ( either newly diagnosed or those patients with a history of hypertension but have not been taking any antihypertensive drugs for at least 4 weeks prior to first visit ) must have an offcie mssbp > = 150 mmhg and < 180 mmhg at screening and 1 week after screening and must have an office mssbp > = 145 mmhg and < 180 mmhg after 4 weeks run-in epoch,offcie mssbp > = 150 mmhg and < 180 mmhg at screening and 1 week after screening and must have an office mssbp > = 145 mmhg and < 180 mmhg after 4 weeks run-in epoch
Inclusion,FALSE,diagnosed severe hypertension,severe
Exclusion,FALSE,malignant hypertension or sitting bp greater than 180 / 109 mmhg ;,sitting BP less thatn 180/019 mmHg
Inclusion,FALSE,patients diagnosed with stage 1 or stage 2 essential hypertension,stage 1 or 2
Inclusion,FALSE,patients with stage 2 systolic hypertension,stage 2
Inclusion,FALSE,patients with stage 2 hypertension within protocol limits at randomization,stage 2
Exclusion,FALSE,controlled blood pressure ( systolic bp < 140 mmhg ) taking more than 3 antihypertensive medications at screening,systolic bp >= 140 mmhg 
Inclusion,FALSE,untreated grade 2 or grade 3 hypertension defined by mean diastolic blood pressure ( bp ) > / = 100 or mean systolic bp > / = 160 mmhg without anti-hypertensive treatment or treated grade 2 hypertension defined by mean diastolic bp > / = 100 or mean systolic bp > / = 160 mmhg with current diuretics or beta-blockers use for > / = 4 weeks,untreated grade 2 or grade 3 hypertension defined by mean diastolic blood pressure ( bp ) > / = 100 or mean systolic bp > / = 160 mmhg without anti-hypertensive treatment or treated grade 2 hypertension defined by mean diastolic bp > / = 100 or mean systolic bp > / = 160 mmhg with current diuretics or beta-blockers use for > / = 4 weeks
Inclusion,TRUE,untreated grade 2 or grade 3 hypertension defined by mean diastolic blood pressure ( bp ) > / = 100 or mean systolic bp > / = 160 mmhg without anti-hypertensive treatment or treated grade 2 hypertension defined by mean diastolic bp > / = 100 or mean systolic bp > / = 160 mmhg with current diuretics or beta-blockers use for > / = 4 weeks,untreated grade 2 or grade 3 hypertension defined by mean diastolic blood pressure ( bp ) > / = 100 or mean systolic bp > / = 160 mmhg without anti-hypertensive treatment or treated grade 2 hypertension defined by mean diastolic bp > / = 100 or mean systolic bp > / = 160 mmhg with current diuretics or beta-blockers use for > / = 4 weeks
Exclusion,FALSE,use of certain high blood pressure medications such as ace inhibitors ; angiotensin receptor blockers or aldosterone antagonists or other agents that may work in the same pathway ( raas ) as valsartan within the past 3 months .,
Exclusion,FALSE,allergy to certain medications used to treat high blood pressure,
Exclusion,FALSE,dislipidemia or hypertension due to secondary causes,
Exclusion,FALSE,history or evidence of a secondary form of hypertension,
Exclusion,FALSE,history of hypertensive encephalopathy accident or cerebrovascular accident,
