drug_class,criteria_sentences,sentence_meaning,inclusion_exclusion,negated
"antihypertensive, mono, dual or triple",currently taking between one and three antihypertensive medications at a stable dose for at least four weeks before visit 1 .,concomitant,Inclusion,FALSE
"antihypertensive, dual",in the month prior to visit 1 ; patients on combination antihypertensive therapy that includes more than 2 classes of antihypertensive medications .,concomitant,Exclusion,FALSE
"antihypertensive, dual or triple",essential hypertensive patients who have already taking 2 or 3 antihypertensive drugs and mean seated diastolic blood pressure ( dbp ) must be > = 90 and < = 114 mmhg and mean seated systolic blood pressure ( sbp ) must be = < 200 mmhg,concomitant,Inclusion,FALSE
"antihypertensive, triple or more",patients on a combination of 3 or more antihypertensive medications,concomitant,Exclusion,FALSE
"antihypertensive, quarternary or more",patients on 4 or more antihypertensive medications,concomitant,Exclusion,FALSE
"antihypertensive, quarternary or more",patients on 4 or more antihypertensive medications .,concomitant,Exclusion,FALSE
amlodipine,any other clinical condition which ; in the opinion of the investigator ; would not allow safe completion of the protocol and safe administration of telmisartan ; amlodipine or hydrochlorothiazide,catch-all,Exclusion,FALSE
amlodipine,any other clinical condition which ; in the opinion of the investigator ; would not allow safe completion of the protocol and safe administration of telmisartan and amlodipine,catch-all,Exclusion,FALSE
angiotensin ii receptor antagonist,any other clinical condition which ; in the opinion of the investigator ; would not allow safe administration of telmisartan or hydrochlorothiazide,catch-all,Exclusion,TRUE
angiotensin ii receptor antagonist,any other clinical condition which ; in the opinion of the investigator ; would not allow safe completion of the protocol and safe administration of telmisartan ; amlodipine or hydrochlorothiazide,catch-all,Exclusion,FALSE
angiotensin ii receptor antagonist,any other clinical condition which ; in the opinion of the investigator ; would not allow safe completion of the protocol and safe administration of telmisartan and amlodipine,catch-all,Exclusion,FALSE
angiotensin ii receptor antagonist,any other clinical condition which ; in the opinion of the principal investigator ; would not allow safe completion of the protocol and safe administration of telmisartan ; valsartan ; or hct .,catch-all,Exclusion,FALSE
angiotensin ii receptor antagonist,any other clinical condition which ; in the opinion of the principal investigator ; would not allow safe completion of the protocol and safe administration of telmisartan or hydrochlorothiazide,catch-all,Exclusion,FALSE
diuretic,any other clinical condition which ; in the opinion of the investigator ; would not allow safe administration of telmisartan or hydrochlorothiazide,catch-all,Exclusion,FALSE
diuretic,any other clinical condition which ; in the opinion of the investigator ; would not allow safe completion of the protocol and safe administration of telmisartan ; amlodipine or hydrochlorothiazide,catch-all,Exclusion,FALSE
diuretic,any other clinical condition which ; in the opinion of the principal investigator ; would not allow safe completion of the protocol and safe administration of telmisartan or hydrochlorothiazide,catch-all,Exclusion,FALSE
ace,pharmacologic antihypertensive therapy with ace inhibitors ; angiotensin receptor blockers ; or aldosterone blockers within 3 months prior to visit 1 ; or with thiazide diuretics within 1 month prior to visit,concomitant,Exclusion,FALSE
