nct_id	tru	inclusion_exclusion	negated	criteria_sentences	essential_secondary
NCT00110422	FALSE	Inclusion	NA	subjects must be willing and able to provide written informed consent	unrecorded
NCT00110422	TRUE	Inclusion	FALSE	subjects must read ; sign ; and receive a copy of the informed consent prior to any study procedures ; including withdrawal of any antihypertensive medication .	
NCT00110422	TRUE	Inclusion	FALSE	males and females > = 18 years of age .	
NCT00110422	TRUE	Inclusion	FALSE	uncontrolled hypertension defined as an average systolic blood pressure > = 140 mmhg or an average diastolic blood pressure > = 90 mmhg	
NCT00110422	TRUE	Inclusion	FALSE	this applies to both people not taking any blood pressure medications and people taking just one blood pressure medication .	
NCT00110422	TRUE	Inclusion	TRUE	this applies to both people not taking any blood pressure medications and people taking just one blood pressure medication .	
NCT00110422	TRUE	Inclusion	NA	presenting at least 2 of the following :	
NCT00110422	TRUE	Inclusion	FALSE	obesity ;	
NCT00110422	TRUE	Inclusion	FALSE	high triglycerides ;	
NCT00110422	TRUE	Inclusion	FALSE	low hdl cholesterol ;	
NCT00110422	TRUE	Inclusion	FALSE	elevated fasting glucose .	
NCT00110422	TRUE	Exclusion	FALSE	women of child bearing potential who are not using adequate birth control .	
NCT00110422	TRUE	Exclusion	TRUE	women of child bearing potential who are not using adequate birth control .	
NCT00110422	TRUE	Exclusion	FALSE	women who are pregnant or breastfeeding	
NCT00110422	TRUE	Exclusion	NA	diabetics	
NCT00110422	TRUE	Exclusion	FALSE	systolic blood pressure > = 180 mmhg .	
NCT00110422	TRUE	Exclusion	FALSE	diastolic blood pressure > = 110 mmhg .	
NCT00110422	TRUE	Exclusion	NA	stroke within past 12 months .	
NCT00110422	TRUE	Exclusion	FALSE	myocardial infarction and heart revascularization procedure or acute angina within past 6 months .	
NCT00110422	TRUE	Exclusion	FALSE	moderate to severe heart failure .	
NCT00110422	TRUE	Exclusion	FALSE	significant kidney or liver disease .	
NCT00110422	TRUE	Exclusion	FALSE	cancer in past 5 years .	
NCT00110422	TRUE	Exclusion	FALSE	drug or alcohol abuse .	
NCT00110422	TRUE	Exclusion	FALSE	gout	
NCT00110422	TRUE	Exclusion	FALSE	lupus	
NCT00151827	FALSE	Inclusion	FALSE	mean sitting bp prior to randomization of 140 - 180 / 90 - 109 mmhg ;	unrecorded
NCT00151827	TRUE	Inclusion	FALSE	renal impairment prior to randomization of mild ( 50 < = clcr > = 80 ml / min ) to moderate ( 30 < = clcr > = 50 ml / min ) severity	
NCT00151827	TRUE	Exclusion	FALSE	malignant hypertension or sitting bp greater than 180 / 109 mmhg ;	
NCT00151827	TRUE	Exclusion	FALSE	severe heart failure ; severe renal disease ;	
NCT00151827	TRUE	Exclusion	FALSE	recent history of myocardial infarction ; stroke or transient ischemic attack ;	
NCT00151827	TRUE	Exclusion	FALSE	history ; clinical evidence or current evidence of any significant gastrointestinal ; respiratory ; hematological ; metabolic ; immunological or any other underlying disease which in the opinion of the investigator would interfere with the patient participation in the trial ;	
NCT00151827	TRUE	Exclusion	FALSE	hypersensitivity or contraindications to arbs or ace inhibitors or any cross allergy ;	
NCT00151827	TRUE	Exclusion	FALSE	treatment with dis-allowed medication ;	
NCT00151827	TRUE	Exclusion	FALSE	pregnant females or breastfeeding females or females of childbearing potential without adequate contraception ;	
NCT00151827	TRUE	Exclusion	TRUE	pregnant females or breastfeeding females or females of childbearing potential without adequate contraception ;	
NCT00151827	TRUE	Exclusion	FALSE	history of drug or alcohol abuse	
NCT00153023	FALSE	Inclusion	FALSE	type 2 diabetes mellitus	unrecorded
NCT00153023	TRUE	Inclusion	FALSE	aged 30 - 70 years of age	
NCT00153023	TRUE	Inclusion	FALSE	hypertension at screening defined as :	
NCT00153023	TRUE	Inclusion	FALSE	an average cuff systolic blood pressure > 130 mmhg or diastolic blood pressure > 80 mmhg in untreated patients or	
NCT00153023	TRUE	Inclusion	FALSE	patients receiving antihypertensive therapy ( ie ; medications specifically prescribed to treat hypertension )	
NCT00153023	TRUE	Inclusion	FALSE	overt nephropathy defined by 24 hour proteinuria > = 900 mg and by serum creatinine below 265 mol / l ( 3.00 mg / dl )	
NCT00170924	FALSE	Inclusion	FALSE	diagnosis / history of high blood pressure	
NCT00170924	TRUE	Inclusion	FALSE	male or female age 45 years or older	
NCT00170924	TRUE	Exclusion	FALSE	history of stroke ; transient ischemic attack or heart attack within the last 6 months	
NCT00170924	TRUE	Exclusion	FALSE	a hospital admission for congestive heart failure within the last year	
NCT00170924	TRUE	Exclusion	FALSE	use of certain high blood pressure medications such as ace inhibitors ; angiotensin receptor blockers or aldosterone antagonists or other agents that may work in the same pathway ( raas ) as valsartan within the past 3 months .	
NCT00170924	TRUE	Exclusion	FALSE	other protocol-defined may apply	
NCT00170989	FALSE	Inclusion	FALSE	patients with mild to moderate hypertension	unrecorded
NCT00170989	TRUE	Exclusion	FALSE	severe hypertension	
NCT00170989	TRUE	Exclusion	FALSE	history of stroke ; myocardial infarction ; heart failure ; chest pain ; abnormal heart rhythm	
NCT00170989	TRUE	Exclusion	FALSE	liver ; kidney ; or pancreas disease	
NCT00170989	TRUE	Exclusion	FALSE	insulin dependent diabetes	
NCT00170989	TRUE	Exclusion	FALSE	allergy to certain medications used to treat high blood pressure	
NCT00170989	TRUE	Exclusion	FALSE	other protocol-defined may apply	
NCT00185133	FALSE	Inclusion	FALSE	male or female patients	unrecorded
NCT00185133	TRUE	Inclusion	FALSE	18 years of age or older ( 20 % equal to or older than 65 years )	
NCT00185133	TRUE	Inclusion	FALSE	with mild to severe hypertension defined as seated diastolic blood pressure of 95 - 120 mmhg while off any hypertensive medication	
NCT00185133	TRUE	Exclusion	TRUE	patients should not have serious concomitant conditions that could interfere with the analysis of the results or that could interfere with the well-being of the patients	
NCT00185133	TRUE	Exclusion	FALSE	patients should not have serious concomitant conditions that could interfere with the analysis of the results or that could interfere with the well-being of the patients	
NCT00190580	FALSE	Inclusion	FALSE	ckd with serum creatinine more than 2.0 mg / dl	unrecorded
NCT00190580	TRUE	Inclusion	FALSE	blood pressure more than 130 / 85 mmhg	
NCT00190580	TRUE	Inclusion	NA	20 years old or above	
NCT00190580	TRUE	Exclusion	FALSE	end-stage renal disease with maintenance dialysis	
NCT00190580	TRUE	Exclusion	FALSE	polycystic kidney disease	
NCT00190580	TRUE	Exclusion	FALSE	collagen disease	
NCT00190580	TRUE	Exclusion	FALSE	malignant or accelerated hypertension	
NCT00273299	FALSE	Inclusion	FALSE	diagnosed severe hypertension	unrecorded
NCT00273299	TRUE	Exclusion	FALSE	inability to discontinue all prior antihypertensive medications	
NCT00273299	TRUE	Exclusion	FALSE	heart failure of any kind	
NCT00273299	TRUE	Exclusion	FALSE	history of stroke ; transient ischemic attack ; myocardial infarction ; chest pain ; abnormal heart rhythm liver ; kidney ; or pancreas disease	
NCT00273299	TRUE	Exclusion	FALSE	diabetes with poor glucose control	
NCT00273299	TRUE	Exclusion	FALSE	allergy to certain medications used to treat high blood pressure	
NCT00273299	TRUE	Exclusion	FALSE	other protocol-defined may apply	
NCT00277472	FALSE	Inclusion	FALSE	male or female 18 years of age and older	unrecorded
NCT00277472	TRUE	Inclusion	FALSE	diagnosed as having hypertension ( mean seated systolic blood pressure > = 150 mm hg but < 180 mm hg and mean seated diastolic blood pressure > = 95 mm hg and < 110 mm hg	
NCT00277472	TRUE	Exclusion	FALSE	patients with sever hypertension : systolic > = 180 mm hg or diastolic > = 110 mm hg	
NCT00277472	TRUE	Exclusion	FALSE	diabetes with fasting glucose > 126 mg / dl or on existing anti-diabetic medication	
NCT00277472	TRUE	Exclusion	FALSE	history of stroke ; transient ischemic attack ; or myocardial infarction within the last 6 months ; or diagnosed with congestive heart failure .	
NCT00277472	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00296218	FALSE	Inclusion	FALSE	the following information on clinical trials is provided for information purposes only to allow patients and physicians to have an initial discussion about the trial	unrecorded
NCT00296218	TRUE	Inclusion	TRUE	this information is not intended to be complete information about the trial ; to contain all considerations that may be relevant to potential participation in the trial ; or to replace the advice of a personal physician or health professional .	
NCT00296218	TRUE	Inclusion	FALSE	this information is not intended to be complete information about the trial ; to contain all considerations that may be relevant to potential participation in the trial ; or to replace the advice of a personal physician or health professional .	
NCT00296218	TRUE	Inclusion	NA	main criteria are listed hereafter :	
