"","age","GNDR_CD","n","observation_time","n_events"
"1",19,1,7,7665,NA
"2",19,2,NA,NA,NA
"3",20,1,NA,NA,NA
"4",20,2,6,5244,10
"5",21,1,6,5544,NA
"6",21,2,13,13212,10
"7",22,1,NA,NA,NA
"8",22,2,NA,NA,NA
"9",23,1,8,8720,NA
"10",23,2,NA,NA,NA
"11",24,1,6,5687,NA
"12",24,2,11,12045,NA
"13",25,1,7,7665,NA
"14",25,2,11,11726,NA
"15",26,1,14,14997,NA
"16",26,2,14,13115,11
"17",27,1,9,9855,NA
"18",27,2,13,14147,11
"19",28,1,24,22791,42
"20",28,2,19,20793,25
"21",29,1,23,22619,10
"22",29,2,24,25881,NA
"23",30,1,20,19971,6
"24",30,2,20,20498,13
"25",31,1,29,29228,12
"26",31,2,34,35811,21
"27",32,1,39,40022,8
"28",32,2,23,24374,11
"29",33,1,31,30463,8
"30",33,2,37,37594,14
"31",34,1,44,46897,22
"32",34,2,34,34695,29
"33",35,1,30,31866,10
"34",35,2,49,51841,19
"35",36,1,58,60419,21
"36",36,2,53,57010,23
"37",37,1,68,70048,29
"38",37,2,57,59670,16
"39",38,1,92,97424,24
"40",38,2,68,71423,39
"41",39,1,90,97261,23
"42",39,2,72,74662,25
"43",40,1,120,128317,40
"44",40,2,89,95670,20
"45",41,1,139,148700,57
"46",41,2,113,118935,48
"47",42,1,161,171325,99
"48",42,2,121,129997,47
"49",43,1,178,191988,72
"50",43,2,140,147073,48
"51",44,1,177,189171,58
"52",44,2,162,174770,53
"53",45,1,220,234766,63
"54",45,2,165,174706,69
"55",46,1,235,248747,55
"56",46,2,185,197986,59
"57",47,1,244,257079,97
"58",47,2,200,214045,64
"59",48,1,267,285851,53
"60",48,2,228,246431,96
"61",49,1,259,274305,75
"62",49,2,248,261026,120
"63",50,1,306,323958,106
"64",50,2,263,281671,75
"65",51,1,303,321003,106
"66",51,2,270,284881,109
"67",52,1,288,307662,89
"68",52,2,273,295761,107
"69",53,1,316,333170,88
"70",53,2,277,295186,122
"71",54,1,294,310504,91
"72",54,2,279,300417,105
"73",55,1,300,314698,113
"74",55,2,290,305513,113
"75",56,1,332,349859,125
"76",56,2,298,314693,103
"77",57,1,359,377819,178
"78",57,2,333,355693,131
"79",58,1,359,380207,136
"80",58,2,339,360585,137
"81",59,1,382,407232,150
"82",59,2,337,354926,102
"83",60,1,389,411155,167
"84",60,2,356,376171,157
"85",61,1,452,475405,167
"86",61,2,405,427818,164
"87",62,1,400,422452,156
"88",62,2,403,430273,150
"89",63,1,494,522990,241
"90",63,2,418,437279,161
"91",64,1,494,518033,214
"92",64,2,526,557523,264
"93",65,1,523,555455,199
"94",65,2,515,541858,235
"95",66,1,501,524599,235
"96",66,2,548,582564,295
"97",67,1,485,507014,294
"98",67,2,559,595451,273
"99",68,1,479,500945,293
"100",68,2,572,604075,248
"101",69,1,389,405405,232
"102",69,2,480,504858,230
"103",70,1,418,437244,254
"104",70,2,528,553794,332
"105",71,1,366,382103,202
"106",71,2,454,477499,248
"107",72,1,387,398883,282
"108",72,2,471,490434,402
"109",73,1,329,339650,237
"110",73,2,458,477991,230
"111",74,1,308,316630,255
"112",74,2,460,484686,289
"113",75,1,276,286518,197
"114",75,2,456,474227,395
"115",76,1,302,310872,261
"116",76,2,440,461783,336
"117",77,1,244,246301,254
"118",77,2,361,373268,282
"119",78,1,240,233251,262
"120",78,2,426,429698,363
"121",79,1,230,232381,262
"122",79,2,328,335518,312
"123",80,1,194,190311,216
"124",80,2,310,308072,302
"125",81,1,180,174649,228
"126",81,2,309,305368,340
"127",82,1,168,158338,214
"128",82,2,277,282629,273
"129",83,1,156,146364,206
"130",83,2,282,269154,330
"131",84,1,107,104541,151
"132",84,2,231,219063,349
"133",85,1,107,92063,167
"134",85,2,203,185406,280
"135",86,1,102,90464,187
"136",86,2,183,169992,324
"137",87,1,76,67520,154
"138",87,2,159,143411,264
"139",88,1,76,67749,137
"140",88,2,142,127758,212
"141",89,1,59,49690,99
"142",89,2,132,107718,260
"143",90,1,47,35279,97
"144",90,2,122,96428,211
"145",91,1,27,21212,41
"146",91,2,79,60978,189
"147",92,1,23,17131,40
"148",92,2,76,58771,143
"149",93,1,14,9541,30
"150",93,2,65,48601,123
"151",94,1,19,12624,56
"152",94,2,38,24898,60
"153",95,1,16,12097,29
"154",95,2,39,26909,64
"155",96,1,8,4092,12
"156",96,2,25,18450,78
"157",97,1,NA,NA,NA
"158",97,2,11,6875,40
"159",98,1,NA,NA,NA
"160",98,2,7,4651,14
"161",99,1,NA,NA,NA
"162",99,2,8,3391,14
"163",100,1,NA,NA,NA
"164",100,2,7,3195,15
"165",101,1,NA,NA,NA
"166",101,2,NA,NA,NA
"167",104,2,NA,NA,NA
