source	nct_id	ae	sae	subjects_at_risk	female	male	age_m	age_s	bmi_m	bmi_s	total_derived	ns
jo	NCT00368277	664	62	901	472	429	72.1	5.59			jo	2
ctg	NCT00368277	413	62	896	472	429	72.1	5.58				2
jo	NCT00529451	237	7	1613	882	731	53.2	9.95	26.1	3.58	jo	2
ctg	NCT00529451	33	7	1315	585	731	53.2	9.95				2
jo	NCT00698646	214	10	380	210	170	77.5	4.34	28.86	4.91	jo	2
ctg	NCT00698646	76	10	384	214	170	77.5	4.34				2
jo	NCT00699192	159	8	819	432	387	71.6	5.27	28.23	4.2	jo	2
ctg	NCT00699192	8	8	818	432	387	71.6	5.27				2
jo	NCT00705575	267	6	688	341	347	56.9	10.53	30	5.55	jo	2
ctg	NCT00705575	67	6	688	341	347	56.9	10.53				2
jo	NCT00706134	152	6	754	415	339	72.2	5.4	28.36	4.47	jo	2
ctg	NCT00706134	6	6	754	417	339	72.1	5.47				2
jo	NCT00949884	293	4	941	428	513	51.9	9.7	32.35	6.35	jo	2
ctg	NCT00949884	306	4	941	428	513	51.9	9.74	32.41	6.48		2
jo	NCT01042392	98	4	506	275	231	60.4	11.5			jo	2
ctg	NCT01042392	4	4	745	275	231	60.4	11.5				2
jo	NCT01167153	46	1	564	294	270	53.5	8.66	25.39	3.12	jo	2
ctg	NCT01167153	47	1	564	270	270	53.5	8.63				2
jo	NCT01599104	423	9	1161	343	818	58.7	10.64	25.4	3.66	jo	2
ctg	NCT01599104	150	9	1161	343	818	58.7	10.64				2
jo	NCT01876368	85	2	376	184	192	57.6	9.65			jo	2
ctg	NCT01876368	19	2	375	183	192	57.6	9.65				2
