nct_id,other_id,phase,source,subjects_affected,subjects_at_risk,arm,notes,,,,unq_name,type_label,name,ctg_str,ctg_str_original
NCT00750113,12313|2006-006436-22,Phase 4,Bayer,3,201,nifedipine and telmisartan,,,,,nifedipine,drugs,Nifidipine,nifidipine,nifidipine
NCT00750113,12313|2006-006436-22,Phase 4,Bayer,3,103,nifedipine,,,,,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT00750113,12313|2006-006436-22,Phase 4,Bayer,2,101,telmisartan,,,,,nifedipine,drugs,Nifedipine/Telmisartan,nifedipine,nifedipine/telmisartan
NCT00750113,12313|2006-006436-22,Phase 4,Bayer,,,,,,,,telmisartan,drugs,Nifedipine/Telmisartan,telmisartan,nifedipine/telmisartan
NCT00993109,14511|ADVISE,Phase 4,Bayer,2,,nifedipine,Treatment emergent,,,,nifedipine,drugs,"Adalat (Nifedipine, BAYA1040)",adalat (nifedipine,"adalat (nifedipine, baya1040)"
NCT00993109,14511|ADVISE,Phase 4,Bayer,1,,telmisartan,Treatment emergent,,,,valsartan,drugs,Diovan (Valsartan),diovan (valsartan),diovan (valsartan)
NCT00993109,14511|ADVISE,Phase 4,Bayer,,,,,,,,nifedipine,drugs,"Adalat (Nifedipine, BAYA1040)",baya1040),"adalat (nifedipine, baya1040)"
NCT01071122,14696,Phase 4,Bayer,1,181,,persons,,,,nifedipine,drugs,"Nifedipine (Adalat, BAYA1040) and Valsartan",nifedipine (adalat,"nifedipine (adalat, baya1040) and valsartan"
NCT01071122,14696,Phase 4,Bayer,1,181,,persons,,,,nifedipine,drugs,"Nifedipine (Adalat, BAYA1040)",nifedipine (adalat,"nifedipine (adalat, baya1040)"
NCT01071122,14696,Phase 4,Bayer,,,,,,,,valsartan,drugs,Valsartan,valsartan,valsartan
NCT01071122,14696,Phase 4,Bayer,,,,,,,,nifedipine,drugs,"Nifedipine (Adalat, BAYA1040) and Valsartan",baya1040),"nifedipine (adalat, baya1040) and valsartan"
NCT01071122,14696,Phase 4,Bayer,,,,,,,,nifedipine,drugs,"Nifedipine (Adalat, BAYA1040)",baya1040),"nifedipine (adalat, baya1040)"
NCT01071122,14696,Phase 4,Bayer,,,,,,,,valsartan,drugs,"Nifedipine (Adalat, BAYA1040) and Valsartan",valsartan,"nifedipine (adalat, baya1040) and valsartan"
NCT01518855,11518,Phase 4,Bayer,3,,adalat CR,no deaths,,,,nifedipine,drugs,"Nifedipine (Adalat, BAYA1040)",nifedipine (adalat,"nifedipine (adalat, baya1040)"
NCT01518855,11518,Phase 4,Bayer,4,,norvasc,,,,,amlodipine,drugs,Amlodipine (Norvasc),amlodipine (norvasc),amlodipine (norvasc)
NCT01518855,11518,Phase 4,Bayer,,,,,,,,valsartan,drugs,Diovan,diovan,diovan
NCT01518855,11518,Phase 4,Bayer,,,,,,,,nifedipine,drugs,"Nifedipine (Adalat, BAYA1040)",baya1040),"nifedipine (adalat, baya1040)"
NCT00034840,502.327,Phase 4,Boehringer Ingelheim,2,,telmisartan,,,,,telmisartan,drugs,"telmisartan, valsartan",telmisartan,"telmisartan, valsartan"
NCT00034840,502.327,Phase 4,Boehringer Ingelheim,1,,valsartan,,,,,valsartan,drugs,"telmisartan, valsartan",valsartan,"telmisartan, valsartan"
NCT00146341,502.472,Phase 3,Boehringer Ingelheim,3,,telmisartan/hctz,,,,,telmisartan,drugs,Telmisartan/HCTZ,telmisartan,telmisartan/hctz
NCT00146341,502.472,Phase 3,Boehringer Ingelheim,0,,telmisartan,,,,,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT00146341,502.472,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Telmisartan/HCTZ,hctz,telmisartan/hctz
NCT00153023,502.396,Phase 4,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT00153023,502.396,Phase 4,Boehringer Ingelheim,,,,,,,,valsartan,drugs,Valsartan,valsartan,valsartan
NCT00168779,502.476,Phase 4,Boehringer Ingelheim,,,,,,,Ten patients reported SAEs during the active treatment phase (eight in the T80-T80/H25 arm and two in the V160-V160/H25 arm),telmisartan,drugs,telmisartan 80 mg / hydrochlorothiazide 25 mg,telmisartan 80 mg,telmisartan 80 mg / hydrochlorothiazide 25 mg
NCT00168779,502.476,Phase 4,Boehringer Ingelheim,,,,,,,,valsartan,drugs,valsartan 160 mg / hydrochlorothiazide 25 mg,valsartan 160 mg,valsartan 160 mg / hydrochlorothiazide 25 mg
