nct_id,measure,description
NCT02738632,The change of sitting systolic blood pressure,NA
NCT02495324,Change of sitting SBP from baseline after taking investigational products for 6 weeks.,NA
NCT02269176,Changes in mean sitting valley value of DBP,The valley value of blood pressure refers to the blood pressure measured prior to the next administration of antihypertensives
NCT02242318,Change in 24 hour mean Diastolic blood pressure (DBP) after a missed dose,measured by ambulatory blood pressure monitoring (ABPM)
NCT02242318,Change in mean DBP during the last 6 hours of the 24 hour dosing interval,NA
NCT02200653,Change from baseline in mean diastolic blood pressure,Measured during the last 6 hours of the 24-hour dosing interval using ABPM
NCT02200640,Change from baseline in mean diastolic blood pressure,Measured during the last 6 hours of the 24-hour dosing interval using ABPM
NCT02183701,Change from baseline in 24-hour mean diastolic blood pressure measured by ABPM,NA
NCT02177435,Change from baseline in seated diastolic blood pressure (DBP) at trough,NA
NCT02177500,Change from baseline in seated diastolic blood pressure (DBP),NA
NCT02177461,"Change from baseline in 24-hours mean systolic blood pressure (SBP) (ABPM - ambulatory blood pressure measurement, 24 hours mean represents the average of 24 hourly mean values)",NA
NCT02177409,"Changes from baseline in diastolic and systolic blood pressure during the last six hours of a 24-hour dosing interval, measured by ambulatory blood pressure monitoring",NA
NCT02177396,Changes from baseline in diastolic and systolic blood pressure during the last 6 hours of a 24-hour dosing interval measured by ambulatory blood pressure monitoring (ABPM),NA
NCT02175355,Change from baseline in seated systolic blood pressure at trough (24 hours post-dose),NA
NCT02175355,Change from baseline in urine albumine excretion rate,NA
NCT02175355,Change from baseline in pulse wave velocity,NA
NCT02172586,Change from baseline in diastolic blood pressure (DBP) during the last 6 hours (ABPM - ambulatory blood pressure measurement) of the 24-hour dosing interval at the end of the monotherapy period of treatment,NA
NCT01975246,Change From Baseline in Mean Seated DBP at Trough After 8 Weeks of the Double-blind Period.,"Change from baseline in mean seated diastolic blood pressure (DBP) at trough after 8 weeks of the double-blind period. After patients had rested in a seated position for approximately 5 minutes, blood pressure was measured 3 times at approximately 2-minute intervals. The mean of the 3 measurements are used as endpoints."
NCT01928628,Change in mean sitDBP from week 0 to week 40,NA
NCT01876368,Change From Baseline in 24-hour Mean Ambulatory Systolic Blood Pressure (maSBP),Twenty-four hour mean ambulatory blood pressure measurements (ABPM) will be performed at baseline and at end of study (week 8). The first 24-hour ABPM will be performed beginning at 24 hours prior to baseline visit and the second will be performed 24 hours prior to week 8 visit.
NCT01838850,The changes of seated diastolic blood pressure of the Triple Combinations OM/AML/HCTZ 20/5/12.5mg vs.OM/HCTZ 20/12.5mg,NA
NCT01785472,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP) Between LCZ696 200 mg Versus Olmesartan 20 mg,Sitting BP measurements will be performed at screening through end of study at every visit. Four separate sitting BP measurements will be obtained with a full two minute interval between measurements.
NCT01615198,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP),"Sitting BP measurements were performed at trough (immediately prior to dosing at the clinic). At study entry, BP was measured in both arms. The arm with the higher SBP reading was used for the 4 measurements at screening visit and the same arm was used at all subsequent visits. A negative change from baseline indicates improvement."
NCT01599104,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP),"Sitting BP measurements were performed at screening through the end of study at every visit. Four separate sitting BP were obtained with a full two-minute interval between measurements. The 4 measurements were summed and averaged, and then the baseline BP value was subtracted from the average value to get the change from baseline."
NCT01518855,Mean treatment cost* for 16-week of double-blind treatment period,* Including treatment cost for the drug related AEs. The sponsor will calculate the cost based on the tariff of health insurance scores.
NCT01518855,Proportion of participants** achieving target blood pressure at the end of double-blind treatment period,"**For subjects aged under 60 years: SBP<130mmHg and DBP<85mmHg, for subjects aged 60 years or over: SBP<140mmHg and DBP<90mmHg (SBP Systolic blood pressure, DBP Diastolic blood pressure)"
NCT01508026,Change in Sitting Diastolic Blood Pressure (DBP),NA
NCT01368536,Change From Baseline in Mean Sitting Systolic Blood Pressure (MSSBP) After 12 Weeks of Treatment Ending With the Combination of Valturna and Amlodipine Versus Valturna Alone,"Sitting BP was measured at trough (24 hours Â± 3 hours postdose) and recorded at all study visits. At the first study visit, the patient had his/her BP measured in both arms; the arm in which the highest sitting DBP was found was used for all subsequent readings throughout the study. At each study visit, after the patient had been sitting for 5 minutes, SBP were measured 3 times using a standard mercury sphygmomanometer and appropriate size cuff. The repeat sitting measurements were made at 1- to 2-minute intervals and the mean of those 3 measurements was used as the average sitting office BP for that visit."
NCT01237223,Change From Baseline in Mean Sitting Diastolic Blood Pressure (msDBP) to End of Study (Week 8),"Sitting blood pressure was measured at trough (24 hours Â± 2 hours post dose) and recorded at all study visits. At the first study visit, blood pressure was measured in both arms and the arm with highest sitting DBP was found and used for all subsequent readings throughout the study. The repeat sitting measurements were made at 1-2 minute intervals and the mean of these three sitting blood pressure measurements were used as the average sitting blood pressure for that visit. Analysis of covariance (ANCOVA) model contained treatment and region as two factors and baseline as a covariate."
NCT01167153,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP) at the Study End Point (12 Weeks),The sitting blood pressure was trough value (23-26 hours after drug administration) measured by sphygmomanometer. Blood pressure was measured on both arms and the arm with higher mean sitting diastolic blood pressure (MSDBP) was used at visit 1 and following visits. Measurement of blood pressure was carried out 3 times at each visit on the selected arm. The results and mean value of three sitting blood pressures were recorded for analysis.
NCT01167153,Change From Baseline in Mean Sitting Diastolic Blood Pressure (msDBP) at the Study End Point (12 Weeks),The sitting blood pressure was trough value (23-26 hours after drug administration) measured by sphygmomanometer. Blood pressure was measured on both arms and the arm with higher msDBP was used at visit 1 and following visits. Measurement of blood pressure was carried out 3 times at each visit on the selected arm. The results and mean value of three sitting blood pressures were recorded for analysis.
NCT01101009,"Change in central systolic blood pressure from baseline (Week 0, Visit 0) to Final Examination (Week 24, Visit 5) using last observation carried forward approach.",NA
NCT01075698,The effects of ARB therapy and that of standard therapy except ARB on the biomarker levels (UACR and BNP),NA
NCT01071122,Central systolic blood pressure,NA
NCT01042392,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP),"The arm in which the highest sitting systolic blood pressure (SBP) was found at study entry was used for all subsequent readings. At each study visit, after leaving the patient to rest 5 minutes in a sitting position, the blood pressure (BP) was measured three times with an oscillometric device. The measurements were performed at 1-2 minute intervals. The mean BP was calculated from the 3 readings. The analysis of covariance included treatment factor and baseline mean sitting SBP as covariable."
NCT01033071,"Change From Baseline in Trough, Sitting, Clinic Systolic Blood Pressure.",The change in sitting trough clinic systolic blood pressure measured at week 12 or final visit relative to baseline. Trough blood pressure is the average of the non-missing values of the 3 serial trough sitting systolic blood pressure measurements.
NCT01001572,Change in Mean Sitting Diastolic Blood Pressure (MSDBP) From Baseline to Week 8 Endpoint,Three arterial blood pressure (BP) determinations were made after the participant was in the sitting position for 5 minutes according to the American Heart Association guidelines using a calibrated standard aneroid or mercury sphygmomanometer or a calibrated standard sphygmomanometer. The change in the MSDBP was calculated comparing the Week 8 readings to the readings taken at Baseline. The change from baseline in MSDBP was analyzed using an analysis of covariance model (ANCOVA) with treatment and center (pooled as appropriate) as factors and centered baseline MSDBP as a covariate.
NCT00996281,Percentage of Participants With at Least 1 Adverse Event,An adverse event is defined as any untoward medical occurrence in a clinical investigation participant administered a pharmaceutical product without regard to causality.
NCT00993109,Mean Systolic BP and Diastolic BP on office Blood Pressure monitoring,NA
NCT00957554,Mean home systolic blood pressure,NA
NCT00956644,Mean home systolic blood pressure,NA
NCT00949884,"Change From Baseline to Week 8 in Trough, Cuff, Seated Diastolic Blood Pressure (SDBP)","The change from baseline in trough SDBP at Week 8 as measured by the Omron monitor. Morning doses of study medication were taken after the exam on study visit days, therefore exam measurements were taken when medication levels were at its lowest ('the trough'). Following a 5-minute rest period, three separate blood pressure measurements were taken with a full 2-minute (not exceeding 5 minutes) interval between measurements, with the cuff fully deflated between measurements. The mean of the 3 seated blood pressure measurements constitute the blood pressure value for the visit."
NCT00942994,Change From Baseline in Mean Sitting Systolic Blood Pressure (MSSBP) at Week 8,"To evaluate change from baseline in MSSBP after 8 weeks of treatment with an aliskiren, amlodipine, and HCTZ treatment regimen versus an aliskiren and amlodipine treatment regimen in minority patients with Stage 2 hypertension."
NCT00931710,Change in Mean Sitting Systolic Blood Pressure After 6 Weeks,To compare the change from baseline in mean sitting systolic blood pressure (MSSBP) after 6 weeks of valsartan/amlodipine-based regimen with a losartan-based regimen in patients with Stage 2 systolic hypertension.
NCT00927394,Change From Baseline in Mean 24-hour Ambulatory Systolic Blood Pressure (MASBP) at Week 8,The 24-hour ambulatory systolic blood pressure was evaluated at baseline (Week 0) and post-baseline visits. The mean hourly systolic blood pressure was calculated at post-dosing hours 1-24 for each patient. The MASBP for each patient was calculated by averaging the patient's available hourly means for post-dosing hours 1-24.
NCT00926289,Change From Baseline in Mean Seated Trough Cuff Systolic Blood Pressure (SBP) to Week 7,The SBP value at baseline was subtracted from the SBP value at Week 7.
NCT00923091,Change in Seated Diastolic Blood Pressure (SeDBP).,Baseline blood pressure was defined as the average values obtained at the randomization visit and at the visit prior to randomization
NCT00902538,Change in Seated Diastolic Blood Pressure (SeDBP) of the Triple Combinations OM/AML/HCTZ 40/10/12.5 and 40/10/25 mg vs. OM/AML 40/10 mg,Three cuff blood pressure measurements were taken at each visit.
NCT00902304,Percentage of Patients Who Have Achieved Their Pre-specified (Individualized National Heart Foundation of Australia Criteria) Blood Pressure (BP) Target,"BP target groups were: <= 125/75mmHg, <= 130/80mmHg and <= 140/90mmHg. The BP target was based on the patient's clinical risk profile as specified by National Heart Foundation of Australia guidelines."
NCT00877929,Change From Baseline in Trough Seated Systolic Blood Pressure to Week 8,Trough blood pressure measurements were the measurements observed at the end of the dosing interval just prior to the next dose of medication.
NCT00872586,Mean change of trough seated diastolic blood pressure from baseline to Week 12 between the two treatment groups.,NA
NCT00865020,Change in 24 Hour (24-Hr) Mean Ambulatory Systolic Blood Pressure (MASBP) From the End of the Active Treatment Period to Day 7 of the Withdrawal Period,An Ambulatory Blood Pressure Monitor measured a participants's blood pressure over a 24 hour period using an automated validated monitoring device at week 12 (end of the active treatment) and at week 13 (end of the day 7 withdrawal period). The 24 Hour MASBP was calculated by taking the mean of all Ambulatory Systolic Blood Pressure readings for the 24 hour period. The difference of the 24 hour MASBP from the end of the active treatment to Day 7 of the treatment withdrawal period was calculated using a two way analysis of variance with treatment and region as factors.
NCT00860262,Change From Baseline in Trough Seated Systolic Blood Pressure (SBP) at Week 8,Overall mean reduction from a common mean baseline in SBP
NCT00853957,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP),"To compare the change from baseline in mean sitting systolic blood pressure (msSBP) after 8 weeks of treatment with a combination of aliskiren and amlodipine treatment regimen (150/5 mg, 300/10 mg) versus an amlodipine treatment regimen (5 mg, 10 mg) in African American patients with Stage 2 hypertension."
NCT00846365,"Change From Baseline to Week 8 in Trough, Sitting, Clinic Systolic Blood Pressure.",The change in trough systolic blood pressure measured at week 8 or final visit relative to baseline. Systolic blood pressure is the average of the 3 serial trough sitting systolic blood pressure measurements.
NCT00841672,Mean Sitting Systolic Blood Pressure (msSBP),Change in mean sitting systolic blood pressure (msSBP) from baseline to end of study (Week 8)
NCT00809926,Change From Baseline in Mean Sitting Systolic Blood Pressure (MSSBP) at Week 8,"To compare the change from baseline in MSSBP after 8 weeks of treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan treatment regimen (160 mg, 320 mg) in patients with Stage 2 Hypertension."
NCT00797316,Change From Baseline to Week 8 in Mean Sitting Systolic Blood Pressure (msSBP),NA
NCT00787605,Change From Baseline in Mean Sitting Systolic Blood Pressure (msSBP),NA
NCT00778921,Change in Mean Sitting Diastolic Blood Pressure (msDBP) From Baseline to End of Study,NA
NCT00777946,Change From Baseline to End of Study in the Mean Sitting Diastolic Blood Pressure (msDBP),"After the patient had been sitting for 5 minutes, systolic and diastolic blood pressures were measured 3 times using the automatic Blood Pressure monitor and appropriate size cuff. The repeat sitting measurements were made at 1-2 minute intervals and the mean of these 3 sitting blood pressure measurements was used as the average sitting blood pressure for that visit. The difference of the msDBP at baseline from the msDBP at 8 weeks was calculated using an Analysis of Covariance (ANCOVA) model with baseline as a covariate and treatment and region as two factors."
NCT00765674,Change in Mean Sitting Systolic Blood Pressure (msSBP) From Baseline to End of Study (Week 8),"Blood pressure (BP) was measured at trough (24Â±3 hours post-dose). The arm in which the highest sitting diastolic BP was found at study entry was used for all subsequent readings. If there was < 0.5 mmHg difference in BP between the 2 arms, the non-dominant arm was used. At each visit, after the patient was in a sitting position with the back supported and both feet placed on the floor for 5 minutes, systolic and diastolic BP were measured 3 times with an automated BP monitor and appropriate size cuff. Means of the 3 measurements were calculated. A negative change indicates lowered BP."
NCT00760266,Change in Mean Sitting Systolic Blood Pressure (msSBP) From Baseline to Week 4,NA
NCT00751829,Change in mean sitting systolic blood pressure as assessed by conventional BP measurements,NA
NCT00751751,Change in mean sitting diastolic blood pressure assessed by conventional BP measurements,NA
NCT00750113,The primary efficacy parameter will be the 24 hour mean systolic Blood Pressure on Ambulatory Blood Pressure Monitoring (ABPM),NA
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 150/5 mg vs. Aliskiren 150 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 150/5 mg vs. Amlodipine 5 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 150/5 mg vs. Placebo on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 150/10 mg vs. Aliskiren 150 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 150/10 mg vs. Amlodipine 10 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 150/10 mg vs. Placebo on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 300/5 mg vs. Aliskiren 300 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 300/5 mg vs. Amlodipine 5 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 300/5 mg vs. Placebo on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 300/10 mg vs. Aliskiren 300 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
