nct_id,ctgov_group_code,arm_name_bas,same_name_as_drug_compare,name_drug_compare,classification,category,title,description,units,param_type,param_value,dispersion_type,dispersion_value
NCT00149227,B1,Valsartan,TRUE,Valsartan,,,Age,,years,Mean,65.8,Standard Deviation,11.2
NCT00149227,B2,Non-ARB,TRUE,Non-ARB,,,Age,,years,Mean,66.1,Standard Deviation,10.9
NCT00149227,B3,Total,FALSE,,,,Age,,years,Mean,65.9,Standard Deviation,11.1
NCT00149227,B1,Valsartan,TRUE,Valsartan,Male,,Gender,,participants,Number,861,,NA
NCT00149227,B1,Valsartan,TRUE,Valsartan,Female,,Gender,,participants,Number,656,,NA
NCT00149227,B2,Non-ARB,TRUE,Non-ARB,Male,,Gender,,participants,Number,867,,NA
NCT00149227,B2,Non-ARB,TRUE,Non-ARB,Female,,Gender,,participants,Number,647,,NA
NCT00149227,B3,Total,FALSE,,Male,,Gender,,participants,Number,1728,,NA
NCT00149227,B3,Total,FALSE,,Female,,Gender,,participants,Number,1303,,NA
NCT00219141,B1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,,,Age,,years,Mean,58.4,Standard Deviation,9.61
NCT00219141,B2,Losartan 100 mg,TRUE,Losartan 100 mg,,,Age,,years,Mean,59.2,Standard Deviation,11.00
NCT00219141,B3,Aliskiren/Losartan 300/100 mg,FALSE,,,,Age,,years,Mean,58.8,Standard Deviation,10.62
NCT00219141,B4,Total,FALSE,,,,Age,,years,Mean,58.8,Standard Deviation,10.41
NCT00219141,B1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,Male,,Gender,,participants,Number,112,,NA
NCT00219141,B1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,Female,,Gender,,participants,Number,42,,NA
NCT00219141,B2,Losartan 100 mg,TRUE,Losartan 100 mg,Male,,Gender,,participants,Number,117,,NA
NCT00219141,B2,Losartan 100 mg,TRUE,Losartan 100 mg,Female,,Gender,,participants,Number,35,,NA
NCT00219141,B3,Aliskiren/Losartan 300/100 mg,FALSE,,Male,,Gender,,participants,Number,119,,NA
NCT00219141,B3,Aliskiren/Losartan 300/100 mg,FALSE,,Female,,Gender,,participants,Number,35,,NA
NCT00219141,B4,Total,FALSE,,Male,,Gender,,participants,Number,348,,NA
NCT00219141,B4,Total,FALSE,,Female,,Gender,,participants,Number,112,,NA
NCT00281580,B1,Placebo (Pl),FALSE,,,,Age,,Years,Mean,52.5,Standard Deviation,12.3
NCT00281580,B10,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),FALSE,,,,Age,,Years,Mean,53.3,Standard Deviation,11.3
NCT00281580,B11,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),FALSE,,,,Age,,Years,Mean,54.8,Standard Deviation,9.7
NCT00281580,B12,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),FALSE,,,,Age,,Years,Mean,52.7,Standard Deviation,11.9
NCT00281580,B13,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),FALSE,,,,Age,,Years,Mean,53.9,Standard Deviation,11.6
NCT00281580,B14,Amlodipine 2.5 mg (A2.5),FALSE,,,,Age,,Years,Mean,55.3,Standard Deviation,10.4
NCT00281580,B15,Amlodipine 5 mg (A5),FALSE,,,,Age,,Years,Mean,53.1,Standard Deviation,10.6
NCT00281580,B16,Amlodipine 10 mg (A10),FALSE,,,,Age,,Years,Mean,53.4,Standard Deviation,10.7
NCT00281580,B17,Total,FALSE,,,,Age,,Years,Mean,53.1,Standard Deviation,11.1
NCT00281580,B2,Telmisartan 20 mg (T20),FALSE,,,,Age,,Years,Mean,53.6,Standard Deviation,10.4
NCT00281580,B3,Telmisartan 40 mg (T40),FALSE,,,,Age,,Years,Mean,52,Standard Deviation,11
NCT00281580,B4,Telmisartan 80 mg (T80),FALSE,,,,Age,,Years,Mean,53.1,Standard Deviation,11.3
NCT00281580,B5,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),FALSE,,,,Age,,Years,Mean,54,Standard Deviation,10.8
NCT00281580,B6,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),FALSE,,,,Age,,Years,Mean,54.4,Standard Deviation,10.2
NCT00281580,B7,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),FALSE,,,,Age,,Years,Mean,51,Standard Deviation,11.2
NCT00281580,B8,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),FALSE,,,,Age,,Years,Mean,50.7,Standard Deviation,10.2
NCT00281580,B9,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),FALSE,,,,Age,,Years,Mean,52.3,Standard Deviation,11.9
NCT00281580,B1,Placebo (Pl),FALSE,,Male,,Gender,,Participants,Number,29,,NA
NCT00281580,B1,Placebo (Pl),FALSE,,Female,,Gender,,Participants,Number,17,,NA
NCT00281580,B10,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),FALSE,,Female,,Gender,,Participants,Number,67,,NA
NCT00281580,B10,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),FALSE,,Male,,Gender,,Participants,Number,62,,NA
NCT00281580,B11,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),FALSE,,Female,,Gender,,Participants,Number,26,,NA
NCT00281580,B11,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),FALSE,,Male,,Gender,,Participants,Number,22,,NA
NCT00281580,B12,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),FALSE,,Female,,Gender,,Participants,Number,72,,NA
NCT00281580,B12,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),FALSE,,Male,,Gender,,Participants,Number,74,,NA
NCT00281580,B13,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),FALSE,,Female,,Gender,,Participants,Number,78,,NA
NCT00281580,B13,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),FALSE,,Male,,Gender,,Participants,Number,64,,NA
NCT00281580,B14,Amlodipine 2.5 mg (A2.5),FALSE,,Male,,Gender,,Participants,Number,27,,NA
NCT00281580,B14,Amlodipine 2.5 mg (A2.5),FALSE,,Female,,Gender,,Participants,Number,23,,NA
NCT00281580,B15,Amlodipine 5 mg (A5),FALSE,,Male,,Gender,,Participants,Number,72,,NA
NCT00281580,B15,Amlodipine 5 mg (A5),FALSE,,Female,,Gender,,Participants,Number,68,,NA
NCT00281580,B16,Amlodipine 10 mg (A10),FALSE,,Male,,Gender,,Participants,Number,65,,NA
NCT00281580,B16,Amlodipine 10 mg (A10),FALSE,,Female,,Gender,,Participants,Number,64,,NA
NCT00281580,B17,Total,FALSE,,Male,,Gender,,Participants,Number,737,,NA
NCT00281580,B17,Total,FALSE,,Female,,Gender,,Participants,Number,724,,NA
NCT00281580,B2,Telmisartan 20 mg (T20),FALSE,,Male,,Gender,,Participants,Number,26,,NA
NCT00281580,B2,Telmisartan 20 mg (T20),FALSE,,Female,,Gender,,Participants,Number,16,,NA
NCT00281580,B3,Telmisartan 40 mg (T40),FALSE,,Male,,Gender,,Participants,Number,66,,NA
NCT00281580,B3,Telmisartan 40 mg (T40),FALSE,,Female,,Gender,,Participants,Number,64,,NA
NCT00281580,B4,Telmisartan 80 mg (T80),FALSE,,Male,,Gender,,Participants,Number,60,,NA
NCT00281580,B4,Telmisartan 80 mg (T80),FALSE,,Female,,Gender,,Participants,Number,75,,NA
NCT00281580,B5,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),FALSE,,Male,,Gender,,Participants,Number,26,,NA
NCT00281580,B5,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),FALSE,,Female,,Gender,,Participants,Number,18,,NA
NCT00281580,B6,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),FALSE,,Male,,Gender,,Participants,Number,21,,NA
NCT00281580,B6,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),FALSE,,Female,,Gender,,Participants,Number,25,,NA
NCT00281580,B7,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),FALSE,,Male,,Gender,,Participants,Number,26,,NA
NCT00281580,B7,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),FALSE,,Female,,Gender,,Participants,Number,18,,NA
NCT00281580,B8,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),FALSE,,Male,,Gender,,Participants,Number,26,,NA
NCT00281580,B8,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),FALSE,,Female,,Gender,,Participants,Number,21,,NA
NCT00281580,B9,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),FALSE,,Male,,Gender,,Participants,Number,71,,NA
NCT00281580,B9,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),FALSE,,Female,,Gender,,Participants,Number,72,,NA
NCT00368277,B1,Aliskiren Based Treatment Regimen,FALSE,,,,Age,,years,Mean,72.0,Standard Deviation,5.56
NCT00368277,B2,Ramipril Based Treatment Regimen,FALSE,,,,Age,,years,Mean,72.2,Standard Deviation,5.62
NCT00368277,B3,Total,FALSE,,,,Age,,years,Mean,72.1,Standard Deviation,5.58
NCT00368277,B1,Aliskiren Based Treatment Regimen,FALSE,,75 years and older,,"Age, Customized",,participants,Number,145,,NA
NCT00368277,B1,Aliskiren Based Treatment Regimen,FALSE,,65 - 74 years,,"Age, Customized",,participants,Number,312,,NA
NCT00368277,B2,Ramipril Based Treatment Regimen,FALSE,,75 years and older,,"Age, Customized",,participants,Number,148,,NA
NCT00368277,B2,Ramipril Based Treatment Regimen,FALSE,,65 - 74 years,,"Age, Customized",,participants,Number,296,,NA
NCT00368277,B3,Total,FALSE,,75 years and older,,"Age, Customized",,participants,Number,293,,NA
NCT00368277,B3,Total,FALSE,,65 - 74 years,,"Age, Customized",,participants,Number,608,,NA
NCT00368277,B1,Aliskiren Based Treatment Regimen,FALSE,,Male,,Gender,,participants,Number,222,,NA
NCT00368277,B1,Aliskiren Based Treatment Regimen,FALSE,,Female,,Gender,,participants,Number,235,,NA
NCT00368277,B2,Ramipril Based Treatment Regimen,FALSE,,Male,,Gender,,participants,Number,207,,NA
NCT00368277,B2,Ramipril Based Treatment Regimen,FALSE,,Female,,Gender,,participants,Number,237,,NA
NCT00368277,B3,Total,FALSE,,Male,,Gender,,participants,Number,429,,NA
NCT00368277,B3,Total,FALSE,,Female,,Gender,,participants,Number,472,,NA
NCT00413049,B1,Valsartan/Amlodipine 80/5 mg,FALSE,,,,Age,,years,Mean,53.4,Standard Deviation,9.7
NCT00413049,B2,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,,,Age,,years,Mean,54.2,Standard Deviation,9.1
NCT00413049,B3,Total,FALSE,,,,Age,,years,Mean,53.8,Standard Deviation,9.4
NCT00413049,B1,Valsartan/Amlodipine 80/5 mg,FALSE,,Male,,Gender,,participants,Number,213,,NA
NCT00413049,B1,Valsartan/Amlodipine 80/5 mg,FALSE,,Female,,Gender,,participants,Number,134,,NA
NCT00413049,B2,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,Male,,Gender,,participants,Number,240,,NA
NCT00413049,B2,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,Female,,Gender,,participants,Number,109,,NA
NCT00413049,B3,Total,FALSE,,Male,,Gender,,participants,Number,453,,NA
NCT00413049,B3,Total,FALSE,,Female,,Gender,,participants,Number,243,,NA
NCT00413413,B1,Valsartan/Amlodipine 80/5 mg,FALSE,,,,Age,All baseline measures were based on Full-set analysis population. Two patients were excluded from the full-set analysis population for having no post-baseline efficacy assessment. All randomized patients were included in the safety population.,years,Mean,51.6,Standard Deviation,10.8
