sid,nct_id,inclusion_exclusion,criteria_sentences,classification_result,caption,cui,term,negated,uncertain,temporal_constraint,measurement_constraint,dose_constraint
1,NCT00034840,Inclusion,mild-to-moderate hypertension defined as a baseline mean seated dbp of greater than or equal to 95 mm hg and less than or equal to 109 mm hg and a baseline 24 - hour abpm mean dbp of greater than or equal to 85 mm hg .,Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
1,NCT00034840,Inclusion,mild-to-moderate hypertension defined as a baseline mean seated dbp of greater than or equal to 95 mm hg and less than or equal to 109 mm hg and a baseline 24 - hour abpm mean dbp of greater than or equal to 85 mm hg .,Observation,Observation,C1305849,dbp,FALSE,FALSE,equal 24 hour,greater_equal 95 mm hg; lower_equal 109 mm hg,NA
1,NCT00034840,Inclusion,mild-to-moderate hypertension defined as a baseline mean seated dbp of greater than or equal to 95 mm hg and less than or equal to 109 mm hg and a baseline 24 - hour abpm mean dbp of greater than or equal to 85 mm hg .,Observation,Observation,C1305849,dbp,FALSE,FALSE,NA,greater_equal 85 mm hg,NA
1,NCT00034840,Inclusion,mild-to-moderate hypertension defined as a baseline mean seated dbp of greater than or equal to 95 mm hg and less than or equal to 109 mm hg and a baseline 24 - hour abpm mean dbp of greater than or equal to 85 mm hg .,Observation,Other,C1547225,mild,FALSE,FALSE,NA,NA,NA
1,NCT00034840,Inclusion,mild-to-moderate hypertension defined as a baseline mean seated dbp of greater than or equal to 95 mm hg and less than or equal to 109 mm hg and a baseline 24 - hour abpm mean dbp of greater than or equal to 85 mm hg .,Observation,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
2,NCT00034840,Exclusion,pre-menopausal women ( last menstruation = 1 year prior to signing informed consent ) who :,Condition Occurrence,Person,C0086287,women,FALSE,FALSE,NA,NA,NA
2,NCT00034840,Exclusion,pre-menopausal women ( last menstruation = 1 year prior to signing informed consent ) who :,Condition Occurrence,Condition,C1096235,pre-menopausal,FALSE,FALSE,NA,NA,NA
2,NCT00034840,Exclusion,pre-menopausal women ( last menstruation = 1 year prior to signing informed consent ) who :,Condition Occurrence,Condition,C0025344;C2129647,menstruation,FALSE,FALSE,equal 1 year,NA,NA
3,NCT00034840,Exclusion,are not surgically sterile .,Other,NA,NA,NA,NA,NA,NA,NA,NA
4,NCT00034840,Exclusion,are nursing .,Condition Occurrence,Condition,C0006147,nursing,FALSE,FALSE,NA,NA,NA
