nct_id,ctgov_group_code,arm_name_ae,same_name_as_baseline,name_baseline,adverse_event_term,frequency_threshold,default_vocab,subjects_affected,subjects_at_risk,description
NCT00149227,E1,Valsartan,TRUE,Valsartan,"Total, serious adverse events",0,,0,1517,"For the valsartan add-on group, valsartan 80 mg once daily in the morning was administered to the patient as an initial dose, the dose was doubled after 4 weeks if the initial dose could not achieve the target blood pressure of less than 140/90 mmHg (in patients with diabetes or renal disease, target blood pressure was set to less than 130/80 mmHg). After 8 weeks, an additional administration of other antihypertensive drugs with ï¬‚exible dosing regimen other than ARBs and ACE inhibitors was allowed if necessary."
NCT00149227,E1,Valsartan,TRUE,Valsartan,"Total, other adverse events",5,,0,1517,"For the valsartan add-on group, valsartan 80 mg once daily in the morning was administered to the patient as an initial dose, the dose was doubled after 4 weeks if the initial dose could not achieve the target blood pressure of less than 140/90 mmHg (in patients with diabetes or renal disease, target blood pressure was set to less than 130/80 mmHg). After 8 weeks, an additional administration of other antihypertensive drugs with ï¬‚exible dosing regimen other than ARBs and ACE inhibitors was allowed if necessary."
NCT00149227,E2,Non-ARB,TRUE,Non-ARB,"Total, serious adverse events",0,,0,1514,"For the conventional treatment group, the anti-hypertensive drugs other than ARB and ACE inhibitors were provided for the patients to reach the target blood pressure."
NCT00149227,E2,Non-ARB,TRUE,Non-ARB,"Total, other adverse events",5,,0,1514,"For the conventional treatment group, the anti-hypertensive drugs other than ARB and ACE inhibitors were provided for the patients to reach the target blood pressure."
NCT00219141,E1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,"Total, serious adverse events",0,MedDRA,10,154,Patients in this arm initially received 150 mg of aliskiren for two weeks and were then force-titrated up to 300 mg of aliskiren where they remained for 34 weeks.
NCT00219141,E1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,"Total, other adverse events",5,MedDRA,31,154,Patients in this arm initially received 150 mg of aliskiren for two weeks and were then force-titrated up to 300 mg of aliskiren where they remained for 34 weeks.
NCT00219141,E2,Losartan 100 mg,TRUE,Losartan 100 mg,"Total, serious adverse events",0,MedDRA,13,152,Patients in this arm initially received 50 mg of losartan for two weeks and were then force-titrated up to 100 mg of losartan where they remained for 34 weeks.
NCT00219141,E2,Losartan 100 mg,TRUE,Losartan 100 mg,"Total, other adverse events",5,MedDRA,31,152,Patients in this arm initially received 50 mg of losartan for two weeks and were then force-titrated up to 100 mg of losartan where they remained for 34 weeks.
NCT00219141,E3,Aliskiren/Losartan 300/100 mg,TRUE,Aliskiren/Losartan 300/100 mg,"Total, serious adverse events",0,MedDRA,10,154,Patients in this arm initially received 150 mg of aliskiren in combination with 50 mg of losartan for two weeks and were then force-titrated up to 300 mg of aliskiren in combination with 100 mg of losartan where they remained for 34 weeks.
NCT00219141,E3,Aliskiren/Losartan 300/100 mg,TRUE,Aliskiren/Losartan 300/100 mg,"Total, other adverse events",5,MedDRA,29,154,Patients in this arm initially received 150 mg of aliskiren in combination with 50 mg of losartan for two weeks and were then force-titrated up to 300 mg of aliskiren in combination with 100 mg of losartan where they remained for 34 weeks.
NCT00281580,E1,PLACEBO,FALSE,,"Total, serious adverse events",0,MedDRA 10.0,0,46,
NCT00281580,E1,PLACEBO,FALSE,,"Total, other adverse events",5,MedDRA 10.0,6,NA,
NCT00281580,E10,Telmisartan 80 mg (T80),TRUE,Telmisartan 80 mg (T80),"Total, serious adverse events",0,MedDRA 10.0,1,135,
NCT00281580,E10,Telmisartan 80 mg (T80),TRUE,Telmisartan 80 mg (T80),"Total, other adverse events",5,MedDRA 10.0,5,NA,
NCT00281580,E11,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),TRUE,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),"Total, serious adverse events",0,MedDRA 10.0,2,48,
NCT00281580,E11,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),TRUE,Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5),"Total, other adverse events",5,MedDRA 10.0,1,NA,
NCT00281580,E12,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),TRUE,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),"Total, serious adverse events",0,MedDRA 10.0,2,146,
NCT00281580,E12,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),TRUE,Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5),"Total, other adverse events",5,MedDRA 10.0,10,NA,
