source	nct_id	minimum_age	maximum_age	arm_name	ae	sae	subjects_at_risk	female	male	age_m	age_s	bmi_m	bmi_s	total_derived	fu_days	ctgov_group_code_bas	ctgov_group_code_aes	gender_elig	hard_outcome	type_comparison	comparison_type	cmprsn
ng	NCT00034840	18		Telmisartan (Micardis)		4	244											All	0	diff_class7	cc7	C09CA03|C09CA07
ng	NCT00034840	18		Total		6	490							calculated				All	0	diff_class7	cc7	C09CA03|C09CA07
ng	NCT00034840	18		Valsartan (Diovan)		2	246											All	0	diff_class7	cc7	C09CA03|C09CA07
jo	NCT00095394	18		Total			645							jo	119			All	0	diff_class3	cc3	C03
ng	NCT00110422	18		hydrochlorothiazide		5	215	135	80	53.3	10.26401481				196			All	0	diff_class3	cc3	C03|C09
ng	NCT00110422	18		irbesartan		3	211	124	87	53.6	10.16808733				196			All	0	diff_class3	cc3	C03|C09
ng	NCT00110422	18		Total		8	426	259	167	53.44859155	10.21661614			calculated	196			All	0	diff_class3	cc3	C03|C09
jo	NCT00134160	65	84	Total			1164	649	515	73.6	5.4	24	3.6	jo	1092			All	1	diff_class3	cc3	C08
ng	NCT00146341	18	80	Telmisartan	6	0	170	65	105	51.2	9.6	25.9	3		56			All	0	diff_class3	cc3	C03
ng	NCT00146341	18	80	Telmisartan/hctz	6	3	175	70	105	51.7	9.4	25.7	3.4		56			All	0	diff_class3	cc3	C03
ng	NCT00146341	18	80	Total	12	3	345	135	210	51.45362319	9.499068544	25.79855072	3.209152363	calculated	56			All	0	diff_class3	cc3	C03
ctg	NCT00149227	20	79	Non-ARB	0	0	1514	647	867	66.1	10.9				1820	B2	E2	All	1	diff_class3	cc3	C09|non
ctg	NCT00149227	20	79	Total	0	0	3031	1303	1728	65.9	11.1				1820	B3	Total	All	1	diff_class3	cc3	C09|non
ctg	NCT00149227	20	79	Valsartan	0	0	1517	656	861	65.8	11.2				1820	B1	E1	All	1	diff_class3	cc3	C09|non
ng	NCT00153023	30	80	Telmisartan	319.403	112.522	443	156.379	286.621	61.1					365.25			All	0	diff_class7	cc7	C09CA03|C09CA07
ng	NCT00153023	30	80	Total	634.549	214.624	885	312.405	572.595	61.1				calculated	365.25			All	0	diff_class7	cc7	C09CA03|C09CA07
ng	NCT00153023	30	80	Valsartan	315.146	102.102	442	156.026	285.974	61.1					365.25			All	0	diff_class7	cc7	C09CA03|C09CA07
ng	NCT00154271	18	75	Total		35	1673	758.8853687	914.1146313	50.79940227	11.68033447			calculated	84			All	0	diff_class3	cc3	C03
ng	NCT00154271	18	75	Valsartan		14	839	374.5535714	464.4464286	50.6	11.55				84			All	0	diff_class3	cc3	C03
ng	NCT00154271	18	75	Valsartan/hctz		21	834	384.3317972	449.6682028	51	11.81				84			All	0	diff_class3	cc3	C03
ng	NCT00168779	18		Placebo		0	132								56			All	0	placebo	cc_plac	C03AA03|C09CA03|C09CA07
ng	NCT00168779	18		Telmisartan/HCTZ 80/25mg		8	529								56			All	0	placebo	cc_plac	C03AA03|C09CA03|C09CA07
ng	NCT00168779	18		Total		10	1185							calculated	56			All	0	placebo	cc_plac	C03AA03|C09CA03|C09CA07
ng	NCT00168779	18		Valsartan/NCTZ 160/25mg		2	524								56			All	0	placebo	cc_plac	C03AA03|C09CA03|C09CA07
ng	NCT00168857	21	80	Losartan 100mg		0	441	171.549	269.451						365.25			All	0	diff_class7	cc7	C09CA01|C09CA07
ng	NCT00168857	21	80	Telmisartan 80mg		0	419	162.991	256.009						365.25			All	0	diff_class7	cc7	C09CA01|C09CA07
ng	NCT00168857	21	80	Total		0	860	334.54	525.46					calculated	365.25			All	0	diff_class7	cc7	C09CA01|C09CA07
ng	NCT00170924	45		Placebo		10	198	97	101	60.2	9.5	30.7	6.1		266			All	0	placebo	cc_plac	C09CA03
ng	NCT00170924	45		Total		35	384	195	189	60.6359375	9.451702802	30.409375	5.771606344	calculated	266			All	0	placebo	cc_plac	C09CA03
ng	NCT00170924	45		Valsartan		25	186	98	88	61.1	9.4	30.1	5.4		266			All	0	placebo	cc_plac	C09CA03
ng	NCT00170963	18		Total		6	947	430	517	54.60517423	10.34378344			calculated	84			All	0	diff_class3	cc3	C08
ng	NCT00170963	18		valsartan		3	308	136	172	54.5	9.9				84			All	0	diff_class3	cc3	C08
ng	NCT00170963	18		valsartan/amlodipine 160/10mg		1	317	146	171	53.9	10.8				84			All	0	diff_class3	cc3	C08
ng	NCT00170963	18		valsartan/amlodipine 160/5mg		2	322	148	174	55.4	10.3				84			All	0	diff_class3	cc3	C08
ng	NCT00170989	18	80	Total		52	2702	1162	1540					calculated	56			All	0	diff_class3	cc3	C03
ng	NCT00170989	18	80	Val/HCTZ 320/12.5mg		15	903	388	515						56			All	0	diff_class3	cc3	C03
ng	NCT00170989	18	80	Val/HCTZ 320/25mg		16	900	387	513						56			All	0	diff_class3	cc3	C03
ng	NCT00170989	18	80	Valsartan 320mg		21	899	387	512						56			All	0	diff_class3	cc3	C03
ng	NCT00171002	18		Amlodipine		1	471	218	253	54.1	12.2				84			All	0	diff_class3	cc3	C09
ng	NCT00171002	18		Total		5	944	440	504	54.1	12.10020091			calculated	84			All	0	diff_class3	cc3	C09
ng	NCT00171002	18		Valsartan/amlodipine 160/10mg		4	473	222	251	54.1	12				84			All	0	diff_class3	cc3	C09
jo	NCT00185133	18		Total			1900							jo				All	0	diff_class3	cc3	C08
jo	NCT00185172	18	75	Total			2333							jo	84			All	0	placebo	cc_plac	C03AA03|C09CA08
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 150/12.5mg		3	186	88	98	54.7	11.35	29.2	5.59		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 150/25mg		2	188	84	104	53.7	11.58	29.3	5.44		56			All	0	placebo	cc_plac	C03AA03|C09XA02
