source	nct_id	ae	sae	subjects_at_risk	female	male	age_m	age_s	bmi_m	bmi_s	total_derived
ng	NCT00034840		6	490							calculated
jo	NCT00095394			645							jo
ng	NCT00110422		8	426	259	167	53.44859154929577	10.216616136618761			calculated
jo	NCT00134160		98	1164	649	515	73.6	5.4	24	3.6	jo
ng	NCT00146341	12	3	345	135	210	51.4536231884058	9.49906854417827	25.798550724637682	3.2091523634954258	calculated
ng	NCT00154271		35	1673	758.8853686635946	914.1146313364054	50.7994022713688	11.680334465485712			calculated
ng	NCT00168779		10	1185							calculated
ng	NCT00170924		35	384	195	189	60.635937500000004	9.451702802345954	30.409375	5.771606344041139	calculated
ng	NCT00170963		6	947	430	517	54.605174234424496	10.343783443798667			calculated
ng	NCT00170989		52	2702	1162	1540					calculated
ng	NCT00171002		5	944	440	504	54.1	12.10020090724752			calculated
jo	NCT00185172			2333							jo
ng	NCT00219024		19	1666	762	904	54.575210084033614	11.271467079610137	29.47454981992797	5.487560552810366	calculated
ng	NCT00219037		94	1955	472	517	55.78	11.32	29.26	5.02	reported
ng	NCT00219063		14	842	362	480	53.24964370546318	10.997613685964529	30.85130641330166	6.357018618368654	calculated
ng	NCT00219076	14		545	253	292	53.65688073394495	11.159210945666782	30	5.6321657923853	calculated
ng	NCT00219102		6	363	167	196	56.99724517906336	8.59046788621872	33.07575757575758	6.033646266224759	calculated
ng	NCT00219115		13	489	276	213	54.140695296523525		34.401431492842534		calculated
ng	NCT00219128		4	672	258	414	52.995535714285715	10.52596660900519	29.492559523809526	5.883063328890531	calculated
ctg	NCT00219141	124	33	460	112	348	58.8	10.41			
ng	NCT00219154		48	1124	505	619	55.90177935943061	10.9	28.999110320284696	4.700172561022287	calculated
jo	NCT00219167	110	2	355	212	143	73.5	5.78			jo
ng	NCT00219180		22	1797	705	1092	52.255036171396775	10.375271181586863	30.474958263772955	5.649231349083809	calculated
ng	NCT00219193		7	641	276	365	53.18127925117004	10.785046642606721	31.57581903276131	6.124290571800891	calculated
jo	NCT00220220	105		538	275	263	56.8		29.1		jo
ng	NCT00220233		1	628	303	325	55.1	10.93	33.1	7.27	calculated
ng	NCT00239369		7.816	713	307	406	57.201262272089764	10.96493259602826	29.1531556802244	5.349600718567814	calculated
ng	NCT00240448		21	1109							reported
jo	NCT00240474	475	37	872							jo
jo	NCT00260923	232	6	642	257	385			30.35	5.55	jo
ng	NCT00262236		14	694	327	367	55.233285302593664	11.439952713614032	29.200432276657057	4.873924238425365	calculated
jo	NCT00264212	109	11	392	274	118	72.1	6.55			jo
ng	NCT00273299		1	608	261	347	51.6	10.85217959583226	31.300986842105264	6.8	calculated
jo	NCT00274599	223	22	812							jo
jo	NCT00274612	315	13	801							jo
