nct_id	official_title	first_received_date	aliskiren	irbesartan	olmesartan	telmisartan	valsartan	fu_days	minimum_age	maximum_age	gender_elig	hard_outcome	type_comparison	comparison_type	cmprsn	phase
NCT00034840	A Prospective, Randomized, Double-Blind, Forced Titration Trial to Compare the Efficacy of MICARDISÂ® (Telmisartan 80 mg p.o. Once Daily) and DiovanÂ® (Valsartan 160 mg p.o. Once Daily) Using Ambulatory Blood Pressure Monitoring (ABPM) in Patients With Mild to Moderate Hypertension After Missing One Dose	2002-05-02	0	0	0	1	1	49	18		All	0	diff_class7	cc7	C09CA03|C09CA07	Phase 4
NCT00095394	The Efficacy and Safety of Irbesartan/HCTZ Combination Therapy as First Line Treatment for Severe Hypertension	2004-11-03	0	1	0	0	0	119	18		All	0	diff_class3	cc3	C03	Phase 3
NCT00095550	The Efficacy and Safety of Irbesartan/HCTZ Combination Therapy as First Line Treatment for Patients With Moderate Hypertension	2004-11-05	0	1	0	0	0		18		All	0				Phase 3
NCT00110422	Irbesartan in the Treatment of Hypertensive Patients With Metabolic Syndrome	2005-05-09	0	1	0	0	0	196	18		All	0	diff_class3	cc3	C03|C09	Phase 4
NCT00134160	The Study Comparing the Incidence of Cardiovascular Events Between High-dose ARB Monotherapy and Combination Therapy With ARB and Calcium Channel Blocker in Japanese Elderly Hypertensive Patients at High Cardiovascular Risk	2005-08-22	0	0	1	0	0	1092	65	84	All	1	diff_class3	cc3	C08	Phase 4
NCT00146341	An Eight Week Randomized, Double-Blind, Double-Dummy Study Comparing a Fixed Dose Combination of Telmisartan 80mg Plus Hydrochlorothiazide 12.5mg to Telmisartan 80mg in Patients Who Fail to Respond Adequately to Treatment With Telmisartan 80mg.	2005-09-05	0	0	0	1	0	56	18	80	All	0	diff_class3	cc3	C03	Phase 3
NCT00151827	Efficacy and Safety of Olmesartan Medoxomil Compared With Losartan in Patients With Hypertension and Mild to Moderate Renal Impairment	2005-09-08	0	0	1	0	0		18	75	All	0				Phase 3
NCT00154271	Effects of Blood Pressure Reduction on High Sensitivity C-Reactive Protein (hsCRP)	2005-09-08	0	0	0	0	1	84	18	75	All	0	diff_class3	cc3	C03	Phase 4
NCT00185133	A Randomized, Double-Blind, Placebo-Controlled Factorial Study Evaluating the Efficacy and Safety of co-Administration of Olmesartan Medoxomil Plus Amlodipine Compared to Monotherapy in Patients With Mild to Severe Hypertension	2005-09-09	0	0	1	0	0		18		All	0	diff_class3	cc3	C08	Phase 3
NCT00170924	A Multi-center, Randomized, Placebo-controlled, Double-blind Study to Evaluate the Effect of the Angiotensin II Antagonist Valsartan on Diastolic Function in Patients With Hypertension and Diastolic Dysfunction	2005-09-10	0	0	0	0	1	266	45		All	0	placebo	cc_plac	C09CA03	Phase 4
NCT00170963	Valsartan/Amlodipine 160/5 mg or 160/10 mg Versus Valsartan 160 mg Alone for 8 Weeks in Hypertensive Patients Who Are Not Adequately Controlled on Valsartan 160 mg Monotherapy	2005-09-10	0	0	0	0	1	84	18		All	0	diff_class3	cc3	C08	Phase 3
NCT00170989	Comparison of the Combination of Valsartan 320 mg Plus Hydrochlorothiazide 12.5 mg and Valsartan 320 mg Plus Hydrochlorothiazide 25 mg to Valsartan 320 mg in Mild to Moderate Hypertensive Patients Not Adequately Controlled With Valsartan 320 mg	2005-09-10	0	0	0	0	1	56	18	80	All	0	diff_class3	cc3	C03	Phase 3
NCT00171002	A Multicenter Trial to Evaluate the Safety and Efficacy of the Combination of Valsartan/Amlodipine 160/10 mg Versus Amlodipine 10 mg Alone for 8 Weeks in Hypertensive Patients Who Are Not Adequately Controlled on Amlodipine 10 mg Monotherapy	2005-09-10	0	0	0	0	1	84	18		All	0	diff_class3	cc3	C09	Phase 3
NCT00190580	Effects of Valsartan on the Progression of Renal and Cardiovascular Disease - Kanagawa Valsartan Trial (KVT)	2005-09-11	0	0	0	0	1		20		All	0				Phase 4
